name,exact_english_wikipedia_article_title,category,region,era
Nefertiti,Nefertiti,ruler,Middle East and North Africa,Ancient
Tutankhamun,Tutankhamun,ruler,Middle East and North Africa,Ancient
Genghis Khan,Genghis Khan,ruler and commander,Central and East Asia,Medieval
Henry VIII,Henry VIII,ruler,Europe,Early modern
Elizabeth I,Elizabeth I,ruler,Europe,Early modern
Mary Queen of Scots,"Mary, Queen of Scots",ruler,Europe,Early modern
Louis XIV,Louis XIV,ruler,Europe,Early modern
Marie Antoinette,Marie Antoinette,ruler,Europe,Early modern
Peter the Great,Peter the Great,ruler,Europe and North Asia,Early modern
Catherine the Great,Catherine the Great,ruler,Europe and North Asia,Early modern
George Washington,George Washington,statesman and commander,North America,18th century
Benjamin Franklin,Benjamin Franklin,statesman and inventor,North America,18th century
Thomas Jefferson,Thomas Jefferson,statesman,North America,18th–19th centuries
Simón Bolívar,Simón Bolívar,statesman and commander,Latin America and Caribbean,18th–19th centuries
Napoleon,Napoleon,statesman and commander,Europe,18th–19th centuries
Horatio Nelson,"Horatio Nelson, 1st Viscount Nelson",naval commander,Europe,18th–19th centuries
José de San Martín,José de San Martín,statesman and commander,Latin America and Caribbean,18th–19th centuries
Abraham Lincoln,Abraham Lincoln,statesman,North America,19th century
Queen Victoria,Queen Victoria,ruler,Europe,19th century
Ulysses S. Grant,Ulysses S. Grant,statesman and commander,North America,19th century
Otto von Bismarck,Otto von Bismarck,statesman,Europe,19th century
Emperor Meiji,Emperor Meiji,ruler,East Asia,19th–20th centuries
Kaiser Wilhelm II,Wilhelm II,ruler,Europe,19th–20th centuries
Theodore Roosevelt,Theodore Roosevelt,statesman,North America,19th–20th centuries
Pancho Villa,Pancho Villa,revolutionary and commander,Latin America and Caribbean,19th–20th centuries
Emiliano Zapata,Emiliano Zapata,revolutionary and commander,Latin America and Caribbean,19th–20th centuries
Sun Yat-sen,Sun Yat-sen,statesman and revolutionary,East Asia,19th–20th centuries
Vladimir Lenin,Vladimir Lenin,statesman and revolutionary,Europe and North Asia,19th–20th centuries
Nicholas II of Russia,Nicholas II,ruler,Europe and North Asia,19th–20th centuries
Grigori Rasputin,Grigori Rasputin,religious and political figure,Europe and North Asia,19th–20th centuries
Leon Trotsky,Leon Trotsky,revolutionary,Europe and North Asia,19th–20th centuries
Joseph Stalin,Joseph Stalin,statesman,Europe and North Asia,20th century
Adolf Hitler,Adolf Hitler,dictator,Europe,20th century
Benito Mussolini,Benito Mussolini,dictator,Europe,20th century
Winston Churchill,Winston Churchill,statesman,Europe,20th century
Franklin D. Roosevelt,Franklin D. Roosevelt,statesman,North America,20th century
Harry S. Truman,Harry S. Truman,statesman,North America,20th century
Dwight D. Eisenhower,Dwight D. Eisenhower,statesman and commander,North America,20th century
Charles de Gaulle,Charles de Gaulle,statesman and commander,Europe,20th century
John F. Kennedy,John F. Kennedy,statesman,North America,20th century
Richard Nixon,Richard Nixon,statesman,North America,20th century
Ronald Reagan,Ronald Reagan,statesman and actor,North America,20th century
George H. W. Bush,George H. W. Bush,statesman,North America,20th–21st centuries
Margaret Thatcher,Margaret Thatcher,statesperson,Europe,20th century
Elizabeth II,Elizabeth II,ruler,Europe and Commonwealth,20th–21st centuries
Diana Princess of Wales,"Diana, Princess of Wales",royal and humanitarian,Europe,20th century
Prince Philip Duke of Edinburgh,"Prince Philip, Duke of Edinburgh",royal,Europe and Commonwealth,20th–21st centuries
