file,id,stored_license,filename_hint,commons_license,verdict
reveal-who.json,tutankhamun,Public domain,,Public domain,OK
reveal-who.json,charlie-chaplin,Public domain,,Public domain,OK
reveal-who.json,marilyn-monroe,Public domain,,Public domain,OK
reveal-who.json,elvis-presley,Public domain,,Public domain,OK
reveal-who.json,socrates,Public domain,,Public domain,OK
reveal-who.json,al-capone,Public domain,,Public domain,OK
reveal-who.json,che-guevara,Public domain,,Public domain,OK
reveal-who.json,einstein,Public domain,,Public domain,OK
reveal-who.json,lincoln,Public domain,,Public domain,OK
reveal-who.json,martin-luther-king-jr,Public domain,,Public domain,OK
reveal-who.json,nelson-mandela,CC BY 2.0,,CC BY 2.0,OK
reveal-who.json,amelia-earhart,Public domain,,Public domain,OK
reveal-who.json,anne-frank,Public domain,,Public domain,OK
reveal-who.json,aretha-franklin,Public domain,,Public domain,OK
reveal-who.json,benjamin-franklin,Public domain,,Public domain,OK
reveal-who.json,carl-sagan,CC BY-SA 4.0,,CC BY-SA 4.0,OK
reveal-who.json,frida-kahlo,Public domain,,Public domain,OK
reveal-who.json,gandhi,Public domain,,Public domain,OK
reveal-who.json,gautama-buddha,Public domain,,Public domain,OK
reveal-who.json,george-washington,Public domain,,Public domain,OK
reveal-who.json,henry-viii,Public domain,,Public domain,OK
reveal-who.json,isaac-newton,Public domain,,Public domain,OK
reveal-who.json,jane-austen,Public domain,,Public domain,OK
reveal-who.json,john-f-kennedy,Public domain,,Public domain,OK
reveal-who.json,malcolm-x,Public domain,,Public domain,OK
reveal-who.json,marcus-aurelius,Public domain,,Public domain,OK
reveal-who.json,mark-twain,Public domain,,Public domain,OK
reveal-who.json,muhammad-ali,Public domain,,Public domain,OK
reveal-who.json,napoleon,Public domain,,Public domain,OK
reveal-who.json,queen-elizabeth-ii,Public domain,,Public domain,OK
reveal-who.json,rasputin,Public domain,,Public domain,OK
reveal-who.json,robert-oppenheimer,Public domain,,Public domain,OK
reveal-who.json,ronald-reagan,Public domain,,Public domain,OK
reveal-who.json,van-gogh-self,Public domain,,Public domain,OK
reveal-who.json,winston-churchill,Public domain,,Public domain,OK
reveal-who.json,ada-lovelace,Public domain,,Public domain,OK
reveal-who.json,alexander-fleming,Public domain,,Public domain,OK
reveal-who.json,alexander-graham-bell,CC0,,CC0,OK
reveal-who.json,alfred-nobel,Public domain,,Public domain,OK
reveal-who.json,arthur-conan-doyle,Public domain,,Public domain,OK
reveal-who.json,beethoven,Public domain,,Public domain,OK
reveal-who.json,billie-holiday,Public domain,,Public domain,OK
reveal-who.json,blaise-pascal,CC BY-SA 4.0,,CC BY-SA 4.0,OK
reveal-who.json,boudica,CC BY-SA 3.0,,CC BY-SA 3.0,OK
reveal-who.json,charles-dickens,Public domain,,Public domain,OK
reveal-who.json,da-vinci-self,Public domain,,Public domain,OK
reveal-who.json,dante-alighieri,Public domain,,Public domain,OK
reveal-who.json,edgar-allan-poe,Public domain,,Public domain,OK
reveal-who.json,elizabeth-i,Public domain,,Public domain,OK
reveal-who.json,ella-fitzgerald,Public domain,,Public domain,OK
reveal-who.json,emily-dickinson,Public domain,,Public domain,OK
reveal-who.json,ferdinand-magellan,Public domain,,Public domain,OK
reveal-who.json,florence-nightingale,Public domain,,Public domain,OK
reveal-who.json,francisco-goya,Public domain,,Public domain,OK
reveal-who.json,frederic-chopin,Public domain,,Public domain,OK
reveal-who.json,frederick-douglass,Public domain,,Public domain,OK
reveal-who.json,friedrich-engels,Public domain,,Public domain,OK
reveal-who.json,friedrich-nietzsche,Public domain,,Public domain,OK
reveal-who.json,fyodor-dostoevsky,Public domain,,Public domain,OK
reveal-who.json,geronimo,CC BY 4.0,,CC BY 4.0,OK
reveal-who.json,giuseppe-garibaldi,Public domain,,Public domain,OK
reveal-who.json,haile-selassie,Public domain,,Public domain,OK
reveal-who.json,harriet-tubman,Public domain,,Public domain,OK
reveal-who.json,ho-chi-minh,Public domain,,Public domain,OK
reveal-who.json,horatio-nelson,Public domain,,Public domain,OK
reveal-who.json,isambard-brunel,Public domain,,Public domain,OK
reveal-who.json,jacques-cousteau,Public domain,,Public domain,OK
reveal-who.json,johann-sebastian-bach,Public domain,,Public domain,OK
reveal-who.json,karl-marx,Public domain,,Public domain,OK
reveal-who.json,kublai-khan,Public domain,,Public domain,OK
reveal-who.json,lenin,Public domain,,Public domain,OK
reveal-who.json,leo-tolstoy,Public domain,,Public domain,OK
reveal-who.json,lewis-carroll,CC0,,CC0,OK
reveal-who.json,lord-byron,Public domain,,Public domain,OK
reveal-who.json,louis-xiv,CC0,,CC0,OK
reveal-who.json,louis-xvi,Public domain,,Public domain,OK
reveal-who.json,mao-zedong,Public domain,,Public domain,OK
reveal-who.json,marie-antoinette,Public domain,,Public domain,OK
reveal-who.json,marie-curie,Public domain,,Public domain,OK
reveal-who.json,martin-luther,Public domain,,Public domain,OK
reveal-who.json,michelangelo,Public domain,,Public domain,OK
reveal-who.json,mozart,Public domain,,Public domain,OK
reveal-who.json,niccolo-machiavelli,Public domain,,Public domain,OK
reveal-who.json,nicholas-ii,Public domain,,Public domain,OK
reveal-who.json,oliver-cromwell,Public domain,,Public domain,OK
reveal-who.json,oscar-wilde,Public domain,,Public domain,OK
reveal-who.json,peter-great,Public domain,,Public domain,OK
reveal-who.json,pocahontas,Public domain,,Public domain,OK
reveal-who.json,queen-victoria,Public domain,,Public domain,OK
reveal-who.json,rembrandt-self,Public domain,,Public domain,OK
reveal-who.json,rene-descartes,Public domain,,Public domain,OK
reveal-who.json,robert-burns,Public domain,,Public domain,OK
reveal-who.json,rosa-parks,Public domain,,Public domain,OK
reveal-who.json,saladin,CC BY-SA 3.0,,CC BY-SA 3.0,OK
reveal-who.json,suleiman-magnificent,Public domain,,Public domain,OK
reveal-who.json,susan-b-anthony,Public domain,,,UNVERIFIED
reveal-who.json,theodore-roosevelt,Public domain,,Public domain,OK
reveal-who.json,toni-morrison,Public domain,,Public domain,OK
reveal-who.json,trotsky,Public domain,,Public domain,OK
reveal-who.json,ulysses-grant,Public domain,,Public domain,OK
reveal-who.json,victor-hugo,Public domain,,Public domain,OK
reveal-who.json,voltaire,CC0,,CC0,OK
reveal-who.json,wu-zetian,Public domain,,Public domain,OK
reveal-who.json,zheng-he,Public domain,,Public domain,OK
reveal-who.json,adam-smith,Public domain,,Public domain,OK
reveal-who.json,akbar-great,Public domain,,Public domain,OK
reveal-who.json,akhenaten,CC BY-SA 3.0,,CC BY-SA 3.0,OK
reveal-who.json,al-khwarizmi,CC0,,CC0,OK
reveal-who.json,albrecht-durer,Public domain,,Public domain,OK
reveal-who.json,alexander-hamilton,Public domain,,Public domain,OK
reveal-who.json,alexander-pushkin,Public domain,,Public domain,OK
reveal-who.json,alexander-von-humboldt,Public domain,,Public domain,OK
reveal-who.json,alexandre-dumas,Public domain,,Public domain,OK
reveal-who.json,anton-chekhov,Public domain,,Public domain,OK
reveal-who.json,artemisia-gentileschi,Public domain,,Public domain,OK
reveal-who.json,ataturk,Public domain,,Public domain,OK
reveal-who.json,augustus-caesar,Public domain,,Public domain,OK
reveal-who.json,charles-i-england,Public domain,,Public domain,OK
reveal-who.json,charles-v-hre,Public domain,,Public domain,OK
reveal-who.json,chief-joseph,Public domain,,Public domain,OK
reveal-who.json,claude-monet,Public domain,,Public domain,OK
reveal-who.json,confucius,Public domain,,Public domain,OK
reveal-who.json,darwin,Public domain,,Public domain,OK
reveal-who.json,diego-velazquez,Public domain,,Public domain,OK
reveal-who.json,el-cid,CC BY-SA 2.0,,CC BY-SA 2.0,OK
reveal-who.json,emmeline-pankhurst,Public domain,,Public domain,OK
reveal-who.json,empress-dowager-cixi,Public domain,,Public domain,OK
reveal-who.json,empress-theodora,CC BY-SA 4.0,,CC BY-SA 4.0,OK
reveal-who.json,enid-blyton,Public domain,,Public domain,OK
reveal-who.json,ernest-rutherford,Public domain,,Public domain,OK
reveal-who.json,eva-peron,Public domain,,Public domain,OK
reveal-who.json,fdr,CC BY 2.0,,CC BY 2.0,OK
reveal-who.json,frederick-the-great,CC BY-SA 4.0,,CC BY-SA 4.0,OK
reveal-who.json,galileo,Public domain,,Public domain,OK
reveal-who.json,george-frideric-handel,Public domain,,Public domain,OK
reveal-who.json,gian-lorenzo-bernini,Public domain,,Public domain,OK
reveal-who.json,goethe,Public domain,,Public domain,OK
reveal-who.json,gottfried-leibniz,Public domain,,Public domain,OK
reveal-who.json,hans-christian-andersen,Public domain,,Public domain,OK
reveal-who.json,hatshepsut,CC0,,CC0,OK
reveal-who.json,herman-melville,Public domain,,Public domain,OK
reveal-who.json,hernan-cortes,Public domain,,Public domain,OK
reveal-who.json,hg-wells,Public domain,,Public domain,OK
reveal-who.json,ibn-sina,CC BY 4.0,,CC BY 4.0,OK
reveal-who.json,ida-b-wells,Public domain,,Public domain,OK
reveal-who.json,immanuel-kant,Public domain,,Public domain,OK
reveal-who.json,ivan-the-terrible,Public domain,,Public domain,OK
reveal-who.json,jacques-louis-david,Public domain,,Public domain,OK
reveal-who.json,jan-van-eyck,Public domain,,Public domain,OK
reveal-who.json,jawaharlal-nehru,Public domain,,Public domain,OK
reveal-who.json,jean-jacques-rousseau,Public domain,,Public domain,OK
reveal-who.json,joan-of-arc,Public domain,,Public domain,OK
reveal-who.json,jules-verne,Public domain,,Public domain,OK
reveal-who.json,justinian-i,CC BY-SA 3.0,,CC BY-SA 3.0,OK
reveal-who.json,kaiser-wilhelm-ii,Public domain,,Public domain,OK
reveal-who.json,katherine-johnson,Public domain,,Public domain,OK
reveal-who.json,mary-shelley,Public domain,,Public domain,OK
reveal-who.json,michael-faraday,Public domain,,Public domain,OK
reveal-who.json,montezuma-ii,Public domain,,Public domain,OK
reveal-who.json,mussolini,Public domain,,Public domain,OK
reveal-who.json,nicolaus-copernicus,Public domain,,Public domain,OK
reveal-who.json,nikolai-gogol,Public domain,,Public domain,OK
reveal-who.json,oda-nobunaga,Public domain,,Public domain,OK
reveal-who.json,peter-paul-rubens,Public domain,,Public domain,OK
reveal-who.json,philip-ii-spain,Public domain,,Public domain,OK
reveal-who.json,rabindranath-tagore,Public domain,,Public domain,OK
reveal-who.json,ramesses-ii,CC BY-SA 4.0,,CC BY-SA 4.0,OK
reveal-who.json,rani-lakshmibai,Public domain,,Public domain,OK
reveal-who.json,raphael,CC BY 4.0,,CC BY 4.0,OK
reveal-who.json,richard-wagner,Public domain,,Public domain,OK
reveal-who.json,robert-e-lee,Public domain,,Public domain,OK
reveal-who.json,rosalind-franklin,CC BY-SA 4.0,,CC BY-SA 4.0,OK
reveal-who.json,sacagawea,CC BY-SA 4.0,,CC BY-SA 4.0,OK
reveal-who.json,saint-augustine,Public domain,,Public domain,OK
reveal-who.json,sally-ride,Public domain,,Public domain,OK
reveal-who.json,samori-ture,Public domain,,Public domain,OK
reveal-who.json,shakespeare,Public domain,,Public domain,OK
reveal-who.json,sitting-bull,Public domain,,Public domain,OK
reveal-who.json,sojourner-truth,Public domain,,Public domain,OK
reveal-who.json,stonewall-jackson,Public domain,,,UNVERIFIED
reveal-who.json,tchaikovsky,Public domain,,Public domain,OK
reveal-who.json,thomas-jefferson,Public domain,,Public domain,OK
reveal-who.json,titian,Public domain,,Public domain,OK
reveal-who.json,tokugawa-ieyasu,Public domain,,Public domain,OK
reveal-who.json,toussaint-louverture,Public domain,,Public domain,OK
